"country","year","date","family","system_name","ballot_type","pool_level","M","n_votes","formula","threshold","ballot_type_tier2","pool_level_tier2","M_tier2","n_votes_tier2","formula_tier2","threshold_tier2","tde1","tde2","tde3","tde4","tde5","ap1","ap2","ap3","ap4","ap5","tde","ap","tde_district1","tde_district2","tde_district3","tde_district4","tde_district5","ap_district1","ap_district2","ap_district3","ap_district4","ap_district5","tde_district","ap_district"
"Afghanistan",2005,2005-09-18,"Majoritarian","Single Nontransferable Vote","open","candidate",7.11428571428571,"one","plurality",0,"NA","NA","NA","NA","NA","NA",1.13839806,1.28570435,1.19968035,1.18790233,1.13658053,0.55154926,0.53961202,0.53866244,0.53567596,0.53994749,1.189653124,0.541089434,2.724613,2.86523026,2.85037857,2.80915221,2.7512137,0.55066225,0.55658205,0.55463833,0.55246917,0.55591039,2.800117548,0.554052438
"Afghanistan",2010,2010-09-18,"Majoritarian","Single Nontransferable Vote","open","candidate",7.11428571428571,"one","plurality",0,"NA","NA","NA","NA","NA","NA",1.13839806,1.28570435,1.19968035,1.18790233,1.13658053,0.55154926,0.53961202,0.53866244,0.53567596,0.53994749,1.189653124,0.541089434,2.724613,2.86523026,2.85037857,2.80915221,2.7512137,0.55066225,0.55658205,0.55463833,0.55246917,0.55591039,2.800117548,0.554052438
"Albania",1991,1991-03-31,"Majoritarian","Two-Round System","closed","party",1,"one","absolute_majority",0,"NA","NA","NA","NA","NA","NA",1.55246892812993,1.52439356866119,1.49943945805737,1.50737256302814,1.5294726365917,0.427960746468375,0.428010906667355,0.427324772368591,0.428597702258097,0.424096656330326,1.52262943089367,0.427198156818549,2.2787930122942,2.25855832869894,2.24787341064317,2.2670416437317,2.31319868128176,0.45207880634431,0.458473355556526,0.452193458886811,0.454479320092085,0.450685002243108,2.27309301532995,0.453581988624568
"Albania",1992,1992-03-22,"Mixed","Mixed Dependent","closed","party",1,"one","absolute_majority",0,"closed","party","40","one","hare","0.04",0.459288791652704,0.583618435417402,0.557881116333879,0.398752692562994,0.509977242488285,0.366302272991415,0.373652963261496,0.387330383797747,0.383326901450346,0.374609170975912,0.501903655691053,0.377044338495383,0.661860150517782,0.491470270010453,0.656607458838398,0.573020619178931,0.525347708231078,0.378256481175237,0.373694552246622,0.37887400749657,0.374890841012111,0.374069601699092,0.581661241355328,0.375957096725926
"Albania",1996,1996-05-26,"Mixed","Mixed Independent","closed","party",1,"one","absolute_majority",0,"closed","party","40","one","hare","0.04",1.55246892812993,1.52439356866119,1.49943945805737,1.50737256302814,1.5294726365917,0.427960746468375,0.428010906667355,0.427324772368591,0.428597702258097,0.424096656330326,1.38548884401039,0.464235810752487,2.2787930122942,2.25855832869894,2.24787341064317,2.2670416437317,2.31319868128176,0.45207880634431,0.458473355556526,0.452193458886811,0.454479320092085,0.450685002243108,2.27309301532995,0.453581988624568
"Albania",1997,1997-06-29,"Mixed","Mixed Independent","closed","party",1,"one","absolute_majority",0,"closed","party","40","one","hare","0.02",1.55246892812993,1.52439356866119,1.49943945805737,1.50737256302814,1.5294726365917,0.427960746468375,0.428010906667355,0.427324772368591,0.428597702258097,0.424096656330326,1.09373599537282,0.463092210356781,2.2787930122942,2.25855832869894,2.24787341064317,2.2670416437317,2.31319868128176,0.45207880634431,0.458473355556526,0.452193458886811,0.454479320092085,0.450685002243108,2.27309301532995,0.453581988624568
"Albania",2001,2001-06-24,"Mixed","Mixed Dependent","closed","party",1,"one","absolute_majority",0,"closed","party","40","one","hare","2.5000000000000001E-2",0.343802352769488,0.444296927761403,0.47189128769798,0.299849317913178,0.150660089559061,0.36741194974675,0.375908908692625,0.387553771524933,0.383329068078988,0.380280271039178,0.342099995140222,0.378896793816495,0.504767482559017,0.382463265509044,0.544835295638184,0.381701866746688,0.390415815136453,0.378898608355799,0.374568313172448,0.379496895601344,0.375106759678847,0.374916094942756,0.440836745117877,0.376597334350239
"Albania",2005,2005-07-03,"Mixed","Mixed Dependent","closed","party",1,"one","plurality",0,"closed","party","40","one","hare","2.5000000000000001E-2",0.343802352769488,0.444296927761403,0.47189128769798,0.299849317913178,0.150660089559061,0.36741194974675,0.375908908692625,0.387553771524933,0.383329068078988,0.380280271039178,0.342099995140222,0.378896793816495,0.504767482559017,0.382463265509044,0.544835295638184,0.381701866746688,0.390415815136453,0.378898608355799,0.374568313172448,0.379496895601344,0.375106759678847,0.374916094942756,0.440836745117877,0.376597334350239
"Albania",2009,2009-06-28,"Proportional","CLPR","closed","party",11.6666666666667,"one","dhondt",0.03,"NA","NA","NA","NA","NA","NA",0.69645812542619,0.569679907173577,0.65679863074119,0.680685857907067,0.453379891203824,0.393583659943443,0.412309885607883,0.404867282897453,0.397148523892747,0.406358581394083,0.61140048249037,0.402853586747122,1.05941613399664,1.1197042468228,1.05701533330709,1.10028527918678,1.08563937755564,0.395549610603362,0.384265397892381,0.389118178633019,0.392203682895095,0.392761089298125,1.08441207417379,0.390779591864396
"Albania",2013,2013-06-23,"Proportional","CLPR","closed","party",11.6666666666667,"one","dhondt",0.03,"NA","NA","NA","NA","NA","NA",0.69645812542619,0.569679907173577,0.65679863074119,0.680685857907067,0.453379891203824,0.393583659943443,0.412309885607883,0.404867282897453,0.397148523892747,0.406358581394083,0.61140048249037,0.402853586747122,1.05941613399664,1.1197042468228,1.05701533330709,1.10028527918678,1.08563937755564,0.395549610603362,0.384265397892381,0.389118178633019,0.392203682895095,0.392761089298125,1.08441207417379,0.390779591864396
